timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
72300000,0.047790,0.020904,-4.693584,0.047370,0.021437,-4.682187,px4_default
72320000,0.047787,0.020894,-4.692443,0.047658,0.021031,-4.680092,px4_default
72340000,0.047784,0.020881,-4.691290,0.047935,0.020610,-4.678740,px4_default
72360000,0.047754,0.020771,-4.689724,0.048504,0.019677,-4.676843,px4_default
72380000,0.047697,0.020556,-4.687756,0.048977,0.018839,-4.675656,px4_default
72400000,0.047635,0.020324,-4.685806,0.049884,0.017086,-4.674030,px4_default
72420000,0.047421,0.019506,-4.684424,0.050571,0.015644,-4.673021,px4_default
72440000,0.047194,0.018643,-4.683068,0.051798,0.012826,-4.671691,px4_default
72460000,0.046842,0.017288,-4.681973,0.052715,0.010487,-4.670941,px4_default
72480000,0.046360,0.015427,-4.681142,0.054227,0.006204,-4.670146,px4_default
72500000,0.045857,0.013481,-4.680340,0.055357,0.002655,-4.669960,px4_default
72520000,0.045029,0.010230,-4.679963,0.057141,-0.003609,-4.670306,px4_default
72540000,0.044167,0.006843,-4.679614,0.058397,-0.008550,-4.671054,px4_default
72560000,0.043096,0.002591,-4.679437,0.060324,-0.017231,-4.672894,px4_default
72580000,0.041809,-0.002545,-4.679430,0.061617,-0.023743,-4.674292,px4_default
72600000,0.040475,-0.007881,-4.679444,0.063486,-0.034924,-4.676253,px4_default
72620000,0.038679,-0.015164,-4.679665,0.064660,-0.043138,-4.677178,px4_default
72640000,0.036820,-0.022721,-4.679895,0.066346,-0.056571,-4.677879,px4_default
72660000,0.034681,-0.031486,-4.680163,0.067314,-0.066501,-4.677935,px4_default
72680000,0.032256,-0.041489,-4.680463,0.068635,-0.082357,-4.677512,px4_default
72700000,0.029751,-0.051850,-4.680751,0.069281,-0.094003,-4.676975,px4_default
72720000,0.026681,-0.064711,-4.680961,0.070095,-0.112735,-4.675946,px4_default
72740000,0.023523,-0.077977,-4.681051,0.070388,-0.126228,-4.675136,px4_default
72760000,0.020068,-0.092601,-4.680746,0.070439,-0.148017,-4.673794,px4_default
72780000,0.016316,-0.108594,-4.680016,0.070399,-0.163452,-4.672843,px4_default
72800000,0.012478,-0.125029,-4.679080,0.069784,-0.188389,-4.671308,px4_default
72820000,0.008183,-0.143801,-4.677063,0.069153,-0.206034,-4.670277,px4_default
72840000,0.003803,-0.163104,-4.674927,0.067939,-0.234036,-4.668714,px4_default
72860000,-0.000806,-0.183828,-4.672474,0.066798,-0.253941,-4.667663,px4_default
72880000,-0.005639,-0.205991,-4.669732,0.064925,-0.285220,-4.666091,px4_default
72900000,-0.010546,-0.228739,-4.666954,0.062696,-0.318357,-4.664564,px4_default
72920000,-0.015761,-0.253934,-4.664026,0.060894,-0.341626,-4.663557,px4_default
72940000,-0.021026,-0.279720,-4.661084,0.059183,-0.365518,-4.662556,px4_default
72960000,-0.026403,-0.306814,-4.658107,0.056261,-0.402903,-4.661136,px4_default
72980000,-0.031884,-0.335216,-4.655104,0.054252,-0.428713,-4.660246,px4_default
73000000,-0.037387,-0.364207,-4.652107,0.050736,-0.469066,-4.658993,px4_default
73020000,-0.042969,-0.395199,-4.649133,0.048264,-0.496839,-4.658223,px4_default
73040000,-0.048543,-0.426771,-4.646189,0.044355,-0.539766,-4.657181,px4_default
73060000,-0.054100,-0.459429,-4.643299,0.041417,-0.569356,-4.656584,px4_default
73080000,-0.059629,-0.493167,-4.640471,0.036977,-0.614843,-4.655808,px4_default
73100000,-0.065113,-0.527468,-4.637696,0.033783,-0.645970,-4.655377,px4_default
73120000,-0.070471,-0.563344,-4.635067,0.028666,-0.693784,-4.654885,px4_default
73140000,-0.075743,-0.599756,-4.632513,0.025258,-0.726295,-4.654662,px4_default
73160000,-0.080877,-0.637034,-4.630079,0.019455,-0.776127,-4.654510,px4_default
73180000,-0.085859,-0.675166,-4.627772,0.015436,-0.809912,-4.654518,px4_default
73200000,-0.090710,-0.713800,-4.625563,0.009209,-0.861377,-4.654693,px4_default
73220000,-0.095256,-0.753613,-4.623579,0.004915,-0.896144,-4.654943,px4_default
73240000,-0.099624,-0.793885,-4.621712,-0.001768,-0.948923,-4.655529,px4_default
73260000,-0.103739,-0.834804,-4.620009,-0.006665,-0.984512,-4.656095,px4_default
73280000,-0.107584,-0.876354,-4.618477,-0.014058,-1.038387,-4.657146,px4_default
73300000,-0.111198,-0.918313,-4.617079,-0.019223,-1.074626,-4.658000,px4_default
73320000,-0.114354,-0.961083,-4.615949,-0.027271,-1.129388,-4.659511,px4_default
73340000,-0.117222,-1.004201,-4.614969,-0.032669,-1.166116,-4.660650,px4_default
73360000,-0.119732,-1.047755,-4.614176,-0.041179,-1.221524,-4.662633,px4_default
73380000,-0.121864,-1.091721,-4.613575,-0.046883,-1.258607,-4.664112,px4_default
73400000,-0.123648,-1.135970,-4.613137,-0.055472,-1.314396,-4.666540,px4_default
73420000,-0.124849,-1.180692,-4.612973,-0.061393,-1.351646,-4.668311,px4_default
73440000,-0.125638,-1.225623,-4.612981,-0.070101,-1.407596,-4.671169,px4_default
73460000,-0.125972,-1.270783,-4.613178,-0.075866,-1.444911,-4.673222,px4_default
73480000,-0.125829,-1.316144,-4.613566,-0.084286,-1.500842,-4.676500,px4_default
73500000,-0.125208,-1.361629,-4.614131,-0.089784,-1.538055,-4.678823,px4_default
73520000,-0.123904,-1.407290,-4.614946,-0.097722,-1.593695,-4.682499,px4_default
73540000,-0.122053,-1.452983,-4.615939,-0.102708,-1.630686,-4.685055,px4_default
73560000,-0.119657,-1.498707,-4.617106,-0.109971,-1.685811,-4.689080,px4_default
73580000,-0.116692,-1.544431,-4.618448,-0.114448,-1.722366,-4.691866,px4_default
73600000,-0.113106,-1.590093,-4.619962,-0.120548,-1.776873,-4.696184,px4_default
73620000,-0.108763,-1.635681,-4.621685,-0.124303,-1.812857,-4.699196,px4_default
73640000,-0.103723,-1.681091,-4.623568,-0.129161,-1.866479,-4.703797,px4_default
73660000,-0.098059,-1.726342,-4.625595,-0.131855,-1.901907,-4.706917,px4_default
73680000,-0.091747,-1.771398,-4.627759,-0.135051,-1.954534,-4.711687,px4_default
73700000,-0.084658,-1.816167,-4.630067,-0.136641,-1.989310,-4.714885,px4_default
73720000,-0.076768,-1.860640,-4.632524,-0.137992,-2.040842,-4.719736,px4_default
73740000,-0.068021,-1.904704,-4.635100,-0.138186,-2.074923,-4.722935,px4_default
73760000,-0.058581,-1.948439,-4.637773,-0.137460,-2.125283,-4.727690,px4_default
73780000,-0.048421,-1.991800,-4.640532,-0.136212,-2.158424,-4.730778,px4_default
73800000,-0.037323,-2.034625,-4.643380,-0.133064,-2.207461,-4.735282,px4_default
73820000,-0.025402,-2.076979,-4.646306,-0.130008,-2.239572,-4.738176,px4_default
73840000,-0.012458,-2.118668,-4.649281,-0.124319,-2.287027,-4.742329,px4_default
73860000,0.001240,-2.159866,-4.652293,-0.119537,-2.318109,-4.744960,px4_default
73880000,0.015719,-2.200523,-4.655326,-0.110821,-2.363843,-4.748632,px4_default
73900000,0.031304,-2.240362,-4.658361,-0.104030,-2.393815,-4.750841,px4_default
73920000,0.047704,-2.279598,-4.661398,-0.092144,-2.437710,-4.753612,px4_default
73940000,0.065299,-2.317873,-4.664383,-0.083191,-2.466386,-4.754997,px4_default
73960000,0.083694,-2.355504,-4.667332,-0.068201,-2.508482,-4.756380,px4_default
73980000,0.102920,-2.392440,-4.670225,-0.057050,-2.535748,-4.756886,px4_default
74000000,0.123426,-2.428262,-4.673000,-0.038838,-2.575824,-4.757249,px4_default
74020000,0.144721,-2.463399,-4.675704,-0.025444,-2.601674,-4.757208,px4_default
74040000,0.167388,-2.497267,-4.678216,-0.003696,-2.639388,-4.756799,px4_default
74060000,0.190896,-2.530358,-4.680613,0.011985,-2.663703,-4.756252,px4_default
74080000,0.215248,-2.562638,-4.682818,0.037309,-2.698904,-4.754985,px4_default
74100000,0.240983,-2.593549,-4.684608,0.055293,-2.721607,-4.753843,px4_default
74120000,0.267418,-2.623768,-4.686186,0.084169,-2.754195,-4.751612,px4_default
74140000,0.295292,-2.652508,-4.687295,0.104569,-2.775072,-4.749817,px4_default
74160000,0.323975,-2.680419,-4.688139,0.136895,-2.805075,-4.746700,px4_default
74180000,0.353500,-2.707451,-4.688761,0.159733,-2.824006,-4.744359,px4_default
74200000,0.384561,-2.732861,-4.689040,0.195649,-2.851080,-4.740572,px4_default
74220000,0.416253,-2.757606,-4.689179,0.220782,-2.868123,-4.737869,px4_default
74240000,0.449488,-2.780686,-4.688918,0.260288,-2.892168,-4.733554,px4_default
74260000,0.483521,-2.802907,-4.688450,0.287717,-2.907279,-4.730515,px4_default
74280000,0.518342,-2.824260,-4.687756,0.330626,-2.928425,-4.725747,px4_default
74300000,0.554681,-2.843919,-4.686599,0.360297,-2.941596,-4.722476,px4_default
74320000,0.591510,-2.863032,-4.685293,0.406684,-2.959779,-4.717411,px4_default
74340000,0.629869,-2.880415,-4.683594,0.438694,-2.970971,-4.713940,px4_default
74360000,0.668956,-2.896977,-4.681708,0.488306,-2.986362,-4.708612,px4_default
74380000,0.708766,-2.912710,-4.679668,0.522584,-2.995644,-4.704981,px4_default
74400000,0.750102,-2.926691,-4.677331,0.575488,-3.008254,-4.699481,px4_default
74420000,0.791811,-2.940243,-4.674922,0.611835,-3.015753,-4.695781,px4_default
74440000,0.835006,-2.952056,-4.672253,0.667963,-3.025721,-4.690190,px4_default
74460000,0.878851,-2.963108,-4.669469,0.725921,-3.034186,-4.684571,px4_default
74480000,0.923326,-2.973396,-4.666591,0.765596,-3.039005,-4.680812,px4_default
74500000,0.969225,-2.981936,-4.663514,0.806081,-3.043177,-4.677059,px4_default
74520000,1.015369,-2.990175,-4.660402,0.868230,-3.048240,-4.671458,px4_default
74540000,1.062883,-2.996663,-4.657149,0.910567,-3.050847,-4.667757,px4_default
74560000,1.110951,-3.002447,-4.653840,0.975399,-3.053623,-4.662264,px4_default
74580000,1.159547,-3.007527,-4.650489,1.019610,-3.054804,-4.658641,px4_default
74600000,1.209443,-3.010861,-4.647045,1.087103,-3.055509,-4.653295,px4_default
74620000,1.259479,-3.014007,-4.643590,1.132957,-3.055313,-4.649812,px4_default
74640000,1.310749,-3.015413,-4.640087,1.202944,-3.054049,-4.644697,px4_default
74660000,1.362477,-3.016171,-4.636566,1.250309,-3.052535,-4.641336,px4_default
74680000,1.414631,-3.016285,-4.633042,1.322578,-3.049386,-4.636438,px4_default
74700000,1.467918,-3.014665,-4.629518,1.371440,-3.046665,-4.633282,px4_default
74720000,1.521259,-3.012964,-4.625992,1.445722,-3.041667,-4.628724,px4_default
74740000,1.575656,-3.009539,-4.622509,1.495997,-3.037776,-4.625853,px4_default
74760000,1.630419,-3.005517,-4.619040,1.572271,-3.031024,-4.621700,px4_default
74780000,1.685512,-3.000909,-4.615601,1.623739,-3.025964,-4.619029,px4_default
74800000,1.741558,-2.994609,-4.612245,1.701688,-3.017492,-4.615167,px4_default
74820000,1.797633,-2.988253,-4.608892,1.754170,-3.011317,-4.612742,px4_default
74840000,1.854540,-2.980284,-4.605659,1.833644,-3.001291,-4.609335,px4_default
74860000,1.911746,-2.971729,-4.602470,1.887054,-2.994045,-4.607191,px4_default
74880000,1.969202,-2.962614,-4.599337,1.967861,-2.982534,-4.604289,px4_default
74900000,2.027342,-2.951970,-4.596354,2.022082,-2.974334,-4.602501,px4_default
74920000,2.085535,-2.941187,-4.593388,2.103889,-2.961249,-4.600047,px4_default
74940000,2.144299,-2.928951,-4.590598,2.158776,-2.952084,-4.598622,px4_default
74960000,2.203281,-2.916142,-4.587881,2.241486,-2.937514,-4.596703,px4_default
74980000,2.262443,-2.902788,-4.585242,2.296873,-2.927320,-4.595593,px4_default
75000000,2.322055,-2.888054,-4.582802,2.380226,-2.911346,-4.594174,px4_default
75020000,2.381721,-2.873113,-4.580397,2.435945,-2.900163,-4.593373,px4_default
75040000,2.441722,-2.856866,-4.578208,2.519683,-2.882826,-4.592448,px4_default
75060000,2.501859,-2.840065,-4.576116,2.575592,-2.870657,-4.591957,px4_default
75080000,2.562096,-2.822732,-4.574121,2.659443,-2.851794,-4.591504,px4_default
75100000,2.622569,-2.804162,-4.572359,2.715311,-2.838714,-4.591344,px4_default
75120000,2.683066,-2.785325,-4.570652,2.799020,-2.818340,-4.591338,px4_default
75140000,2.743672,-2.765328,-4.569187,2.854669,-2.804364,-4.591540,px4_default
75160000,2.804316,-2.744798,-4.567835,2.937968,-2.782594,-4.592093,px4_default
75180000,2.864968,-2.723756,-4.566600,2.993306,-2.767621,-4.592633,px4_default
75200000,2.925635,-2.701618,-4.565614,3.075941,-2.744448,-4.593694,px4_default
75220000,2.986278,-2.679165,-4.564705,3.130821,-2.728451,-4.594540,px4_default
75240000,3.046838,-2.655682,-4.564048,3.212575,-2.703835,-4.596081,px4_default
75260000,3.107343,-2.631688,-4.563519,3.266743,-2.686911,-4.597263,px4_default
75280000,3.167763,-2.607201,-4.563118,3.347450,-2.660752,-4.599259,px4_default
75300000,3.228018,-2.581745,-4.562970,3.400748,-2.642899,-4.600751,px4_default
75320000,3.288166,-2.555935,-4.562920,3.480281,-2.615199,-4.603147,px4_default
75340000,3.348041,-2.529227,-4.563120,3.532717,-2.596397,-4.604924,px4_default
75360000,3.407750,-2.502034,-4.563457,3.610738,-2.567410,-4.607781,px4_default
75380000,3.467267,-2.474375,-4.563929,3.662210,-2.547648,-4.609840,px4_default
75400000,3.526437,-2.445873,-4.564645,3.738564,-2.517327,-4.613144,px4_default
75420000,3.585400,-2.416989,-4.565477,3.788978,-2.496590,-4.615460,px4_default
75440000,3.643936,-2.387320,-4.566545,3.863508,-2.464887,-4.619133,px4_default
75460000,3.702199,-2.357192,-4.567753,3.912621,-2.443258,-4.621683,px4_default
75480000,3.760164,-2.326622,-4.569098,3.985402,-2.410081,-4.625653,px4_default
75500000,3.817637,-2.295320,-4.570669,4.033114,-2.387586,-4.628395,px4_default
75520000,3.874768,-2.263619,-4.572367,4.103806,-2.353093,-4.632611,px4_default
75540000,3.931323,-2.231248,-4.574278,4.150230,-2.329669,-4.635519,px4_default
75560000,3.987480,-2.198451,-4.576326,4.218773,-2.293892,-4.640026,px4_default
75580000,4.043220,-2.165244,-4.578505,4.263832,-2.269557,-4.643092,px4_default
75600000,4.098326,-2.131414,-4.580884,4.330275,-2.232447,-4.647838,px4_default
75620000,4.152940,-2.097176,-4.583393,4.373903,-2.207244,-4.651048,px4_default
75640000,4.206862,-2.062366,-4.586086,4.437933,-2.168919,-4.655962,px4_default
75660000,4.260266,-2.027159,-4.588904,4.479853,-2.142946,-4.659280,px4_default
75680000,4.313136,-1.991570,-4.591843,4.541566,-2.103365,-4.664318,px4_default
75700000,4.365266,-1.955451,-4.594947,4.581724,-2.076647,-4.667736,px4_default
75720000,4.416718,-1.918931,-4.598176,4.640827,-2.035913,-4.672905,px4_default
75740000,4.467368,-1.881935,-4.601552,4.679327,-2.008375,-4.676380,px4_default
75760000,4.517366,-1.844581,-4.605032,4.735718,-1.966515,-4.681631,px4_default
75780000,4.566700,-1.806882,-4.608611,4.772530,-1.938200,-4.685151,px4_default
75800000,4.615196,-1.768748,-4.612312,4.826249,-1.895245,-4.690481,px4_default
75820000,4.662820,-1.730223,-4.616108,4.861204,-1.866255,-4.694043,px4_default
75840000,4.709573,-1.691307,-4.620001,4.912340,-1.822256,-4.699410,px4_default
75860000,4.755547,-1.652068,-4.623969,4.945571,-1.792614,-4.703005,px4_default
75880000,4.800735,-1.612521,-4.628007,4.994118,-1.747697,-4.708411,px4_default
75900000,4.845026,-1.572621,-4.632126,5.025450,-1.717557,-4.712014,px4_default
75920000,4.888221,-1.532363,-4.636325,5.071217,-1.671871,-4.717400,px4_default
75940000,4.930485,-1.491803,-4.640591,5.100789,-1.641174,-4.720993,px4_default
75960000,4.971838,-1.450971,-4.644910,5.143768,-1.594742,-4.726344,px4_default
75980000,5.012274,-1.409879,-4.649276,5.171592,-1.563485,-4.729869,px4_default
76000000,5.051767,-1.368521,-4.653691,5.211755,-1.516274,-4.735121,px4_default
76020000,5.089940,-1.326846,-4.658147,5.237635,-1.484515,-4.738574,px4_default
76040000,5.127158,-1.284942,-4.662632,5.275097,-1.436469,-4.743669,px4_default
76060000,5.163339,-1.242815,-4.667134,5.299013,-1.404211,-4.747017,px4_default
76080000,5.198481,-1.200475,-4.671648,5.333572,-1.355415,-4.751924,px4_default
76100000,5.232663,-1.157938,-4.676173,5.355621,-1.322647,-4.755114,px4_default
76120000,5.265273,-1.115149,-4.680684,5.387371,-1.273126,-4.759737,px4_default
76140000,5.296916,-1.072205,-4.685188,5.407549,-1.239907,-4.762720,px4_default
76160000,5.327388,-1.029098,-4.689668,5.436346,-1.189771,-4.766997,px4_default
76180000,5.356691,-0.985837,-4.694118,5.454648,-1.156128,-4.769703,px4_default
76200000,5.385032,-0.942449,-4.698544,5.480500,-1.105417,-4.773527,px4_default
76220000,5.411543,-0.898876,-4.702893,5.496789,-1.071416,-4.775880,px4_default
76240000,5.437100,-0.855206,-4.707201,5.519798,-1.020141,-4.779097,px4_default
76260000,5.461357,-0.811429,-4.711440,5.534003,-0.985797,-4.781003,px4_default
76280000,5.484320,-0.767552,-4.715601,5.553926,-0.934026,-4.783527,px4_default
76300000,5.506340,-0.723603,-4.719708,5.566191,-0.899366,-4.784948,px4_default
76320000,5.526255,-0.679562,-4.723650,5.583103,-0.847131,-4.786643,px4_default
76340000,5.545243,-0.635481,-4.727518,5.593454,-0.812155,-4.787501,px4_default
76360000,5.562802,-0.591361,-4.731256,5.607317,-0.759458,-4.788354,px4_default
76380000,5.578938,-0.547211,-4.734859,5.615683,-0.724193,-4.788754,px4_default
76400000,5.594170,-0.503041,-4.738379,5.626574,-0.671103,-4.788999,px4_default
76420000,5.607038,-0.458875,-4.741610,5.632827,-0.635580,-4.788995,px4_default
76440000,5.619033,-0.414711,-4.744734,5.640678,-0.582112,-4.788762,px4_default
76460000,5.629507,-0.370571,-4.747628,5.644793,-0.546316,-4.788432,px4_default
76480000,5.638473,-0.326460,-4.750284,5.649461,-0.492436,-4.787739,px4_default
76500000,5.646609,-0.282366,-4.752808,5.651495,-0.456375,-4.787127,px4_default
76520000,5.652168,-0.238342,-4.754917,5.652887,-0.402031,-4.785972,px4_default
76540000,5.656937,-0.194341,-4.756898,5.652796,-0.365682,-4.785044,px4_default
76560000,5.660087,-0.150401,-4.758646,5.650898,-0.310828,-4.783332,px4_default
76580000,5.661631,-0.106526,-4.760169,5.648575,-0.274115,-4.781999,px4_default
76600000,5.662426,-0.062682,-4.761585,5.643503,-0.218841,-4.779706,px4_default
76620000,5.660406,-0.018952,-4.762629,5.638923,-0.181768,-4.777958,px4_default
76640000,5.657684,0.024749,-4.763580,5.630630,-0.126088,-4.775088,px4_default
76660000,5.653278,0.068376,-4.764306,5.623931,-0.088747,-4.772954,px4_default
76680000,5.647206,0.111931,-4.764808,5.612324,-0.032588,-4.769559,px4_default
76700000,5.640485,0.155458,-4.765223,5.603469,0.005007,-4.767155,px4_default
76720000,5.630799,0.198854,-4.765195,5.588500,0.061590,-4.763400,px4_default
76740000,5.620523,0.242224,-4.765079,5.577463,0.099380,-4.760822,px4_default
76760000,5.608548,0.285500,-4.764684,5.559072,0.156328,-4.756776,px4_default
76780000,5.594894,0.328681,-4.764008,5.545704,0.194402,-4.754003,px4_default
76800000,5.580715,0.371832,-4.763244,5.523996,0.251661,-4.749728,px4_default
76820000,5.563469,0.414778,-4.761997,5.508304,0.290009,-4.746805,px4_default
76840000,5.545755,0.457692,-4.760675,5.483166,0.347600,-4.742337,px4_default
76860000,5.526322,0.500467,-4.759120,5.465263,0.386102,-4.739291,px4_default
76880000,5.505190,0.543102,-4.757338,5.436700,0.444013,-4.734632,px4_default
76900000,5.483647,0.585704,-4.755500,5.416601,0.482640,-4.731467,px4_default
76920000,5.458940,0.628012,-4.753289,5.384793,0.540735,-4.726654,px4_default
76940000,5.433881,0.670288,-4.751037,5.362551,0.579475,-4.723408,px4_default
76960000,5.407124,0.712374,-4.748593,5.327437,0.637843,-4.718477,px4_default
76980000,5.378687,0.754270,-4.745961,5.302971,0.676787,-4.715156,px4_default
77000000,5.349962,0.796133,-4.743297,5.264691,0.735235,-4.710118,px4_default
77020000,5.318059,0.837597,-4.740302,5.238060,0.774358,-4.706704,px4_default
77040000,5.285926,0.879032,-4.737283,5.196595,0.832984,-4.701531,px4_default
77060000,5.252123,0.920229,-4.734109,5.167885,0.872106,-4.698039,px4_default
77080000,5.216671,0.961191,-4.730783,5.123210,0.930828,-4.692768,px4_default
77100000,5.181043,1.002127,-4.727441,5.092422,0.969900,-4.689246,px4_default
77120000,5.142226,1.042560,-4.723835,5.044492,1.028610,-4.683967,px4_default
77140000,5.103286,1.082972,-4.720220,5.011507,1.067688,-4.680439,px4_default
77160000,5.062724,1.123086,-4.716486,4.960499,1.126189,-4.675142,px4_default
77180000,5.020557,1.162904,-4.712636,4.925506,1.165086,-4.671628,px4_default
77200000,4.978321,1.202708,-4.708782,4.871547,1.223253,-4.666386,px4_default
77220000,4.932939,1.241877,-4.704702,4.834510,1.261995,-4.662896,px4_default
77240000,4.887510,1.281036,-4.700619,4.777536,1.319814,-4.657704,px4_default
77260000,4.840542,1.319845,-4.696443,4.738563,1.358216,-4.654282,px4_default
77280000,4.792027,1.358302,-4.692173,4.678650,1.415569,-4.649189,px4_default
77300000,4.743440,1.396740,-4.687901,4.637792,1.453558,-4.645823,px4_default
77320000,4.691936,1.434439,-4.683513,4.574978,1.510370,-4.640833,px4_default
77340000,4.640320,1.472106,-4.679122,4.532169,1.548002,-4.637546,px4_default
77360000,4.587298,1.509358,-4.674694,4.466578,1.604060,-4.632696,px4_default
77380000,4.532859,1.546190,-4.670228,4.421887,1.641225,-4.629536,px4_default
77400000,4.478268,1.582973,-4.665759,4.353557,1.696463,-4.624863,px4_default
77420000,4.421082,1.618914,-4.661252,4.307116,1.732985,-4.621792,px4_default
77440000,4.363711,1.654786,-4.656744,4.236211,1.787215,-4.617249,px4_default
77460000,4.305056,1.690193,-4.652234,4.188100,1.823035,-4.614279,px4_default
77480000,4.245105,1.725128,-4.647723,4.114702,1.876259,-4.609901,px4_default
77500000,4.184934,1.759976,-4.643213,4.064971,1.911333,-4.607029,px4_default
77520000,4.122453,1.793906,-4.638729,3.989154,1.963474,-4.602846,px4_default
77540000,4.059725,1.827725,-4.634250,3.937837,1.997798,-4.600139,px4_default
77560000,3.995847,1.861022,-4.629800,3.859716,2.048607,-4.596197,px4_default
77580000,3.930809,1.893790,-4.625381,3.806843,2.082080,-4.593644,px4_default
77600000,3.865498,1.926424,-4.620972,3.726420,2.131549,-4.589895,px4_default
77620000,3.798176,1.958063,-4.616639,3.672051,2.164068,-4.587458,px4_default
77640000,3.730559,1.989541,-4.612320,3.589391,2.212128,-4.583930,px4_default
77660000,3.661908,2.020454,-4.608057,3.533574,2.243632,-4.581641,px4_default
77680000,3.592215,2.050792,-4.603848,3.448780,2.290155,-4.578370,px4_default
77700000,3.522210,2.080940,-4.599659,3.391579,2.320563,-4.576252,px4_default
77720000,3.450464,2.110038,-4.595586,3.304812,2.365396,-4.573263,px4_default
77740000,3.378389,2.138919,-4.591540,3.246335,2.394705,-4.571382,px4_default
77760000,3.305391,2.167192,-4.587566,3.157689,2.437778,-4.568681,px4_default
77780000,3.231469,2.194847,-4.583669,3.098003,2.465938,-4.566992,px4_default
77800000,3.157211,2.222251,-4.579805,3.007579,2.507227,-4.564564,px4_default
77820000,3.081485,2.248554,-4.576085,2.946725,2.534142,-4.563028,px4_default
77840000,3.005412,2.274573,-4.572403,2.854589,2.573590,-4.560860,px4_default
77860000,2.928544,2.299942,-4.568812,2.792596,2.599225,-4.559489,px4_default
77880000,2.850879,2.324648,-4.565313,2.698809,2.636755,-4.557590,px4_default
77900000,2.772864,2.349036,-4.561859,2.635727,2.661091,-4.556407,px4_default
77920000,2.693608,2.372297,-4.558567,2.540279,2.696570,-4.554753,px4_default
77940000,2.613996,2.395204,-4.555326,2.443843,2.730817,-4.553251,px4_default
77960000,2.533697,2.417425,-4.552187,2.379052,2.752875,-4.552311,px4_default
77980000,2.452713,2.438948,-4.549151,2.313864,2.774404,-4.551443,px4_default
78000000,2.371385,2.460075,-4.546174,2.215347,2.805597,-4.550247,px4_default
78020000,2.289059,2.480052,-4.543367,2.149187,2.825685,-4.549526,px4_default
78040000,2.206391,2.499596,-4.540627,2.049295,2.854700,-4.548559,px4_default
78060000,2.123158,2.518420,-4.537994,1.982263,2.873282,-4.547978,px4_default
78080000,2.039360,2.536509,-4.535472,1.881079,2.900083,-4.547254,px4_default
78100000,1.955233,2.554123,-4.533021,1.813213,2.917155,-4.546816,px4_default
78120000,1.870303,2.570583,-4.530744,1.710815,2.941601,-4.546211,px4_default
78140000,1.785052,2.586526,-4.528543,1.642169,2.957173,-4.545866,px4_default
78160000,1.699334,2.601721,-4.526454,1.538677,2.979349,-4.545344,px4_default
78180000,1.613161,2.616152,-4.524479,1.469351,2.993355,-4.545000,px4_default
78200000,1.526696,2.630019,-4.522586,1.364878,3.013184,-4.544525,px4_default
78220000,1.439636,2.642732,-4.520863,1.294916,3.025590,-4.544247,px4_default
78240000,1.352300,2.654837,-4.519227,1.189563,3.042971,-4.543935,px4_default
78260000,1.264613,2.666166,-4.517701,1.119053,3.053726,-4.543793,px4_default
78280000,1.176584,2.676707,-4.516276,1.048355,3.063836,-4.543710,px4_default
78300000,1.088310,2.686603,-4.514909,0.941942,3.077751,-4.543678,px4_default
78320000,0.999609,2.695379,-4.513643,0.835156,3.090153,-4.543773,px4_default
78340000,0.910693,2.703473,-4.512440,0.763779,3.097620,-4.543914,px4_default
78360000,0.821533,2.710793,-4.511309,0.656427,3.107569,-4.544240,px4_default
78380000,0.732151,2.717326,-4.510264,0.584710,3.113365,-4.544560,px4_default
78400000,0.642617,2.723135,-4.509327,0.476938,3.120842,-4.545193,px4_default
78420000,0.552858,2.727878,-4.508549,0.404964,3.125000,-4.545684,px4_default
78440000,0.462997,2.731869,-4.507888,0.296924,3.129980,-4.546572,px4_default
78460000,0.373033,2.735098,-4.507345,0.224847,3.132454,-4.547232,px4_default
78480000,0.282985,2.737557,-4.506923,0.116677,3.134929,-4.548293,px4_default
78500000,0.192898,2.739238,-4.506625,0.044548,3.135775,-4.549033,px4_default
78520000,0.102760,2.739941,-4.506484,-0.063626,3.135824,-4.550197,px4_default
78540000,0.012642,2.739838,-4.506473,-0.135655,3.135051,-4.551044,px4_default
78560000,-0.077459,2.738999,-4.506580,-0.243659,3.132700,-4.552376,px4_default
78580000,-0.167511,2.737416,-4.506809,-0.315592,3.130357,-4.553323,px4_default
78600000,-0.257453,2.734999,-4.507171,-0.423308,3.125666,-4.554860,px4_default
78620000,-0.347276,2.731693,-4.507678,-0.495032,3.121759,-4.555946,px4_default
78640000,-0.436922,2.727534,-4.508296,-0.602377,3.114781,-4.557740,px4_default
78660000,-0.526421,2.722673,-4.509006,-0.673798,3.109349,-4.559039,px4_default
78680000,-0.615750,2.717103,-4.509805,-0.780707,3.100066,-4.561122,px4_default
78700000,-0.704827,2.710664,-4.510709,-0.851759,3.093203,-4.562630,px4_default
78720000,-0.793677,2.703439,-4.511706,-0.958065,3.081789,-4.565000,px4_default
78740000,-0.882215,2.695325,-4.512835,-1.028699,3.073468,-4.566654,px4_default
78760000,-0.970521,2.686547,-4.514063,-1.134311,3.059921,-4.569202,px4_default
78780000,-1.058563,2.677100,-4.515395,-1.204428,3.050225,-4.570978,px4_default
78800000,-1.146204,2.666759,-4.516873,-1.309118,3.034687,-4.573795,px4_default
78820000,-1.233539,2.655735,-4.518462,-1.378638,3.023635,-4.575751,px4_default
