timestamp_us,ref_x,ref_y,ref_z,pos_x,pos_y,pos_z,controller
32324000,-0.027316,-0.008485,-4.966726,0.047702,-0.074272,-5.149985,px4_default
32344000,-0.027319,-0.008483,-4.965567,0.048076,-0.074418,-5.157267,px4_default
32364000,-0.027388,-0.008433,-4.963601,0.048557,-0.074655,-5.168197,px4_default
32384000,-0.027661,-0.008235,-4.962084,0.048855,-0.074812,-5.175479,px4_default
32404000,-0.028274,-0.007789,-4.961118,0.049230,-0.075024,-5.186420,px4_default
32424000,-0.029361,-0.006997,-4.960685,0.049486,-0.075154,-5.193712,px4_default
32444000,-0.031059,-0.005763,-4.960760,0.049833,-0.075355,-5.204696,px4_default
32464000,-0.033504,-0.003993,-4.961311,0.050041,-0.075477,-5.212018,px4_default
32484000,-0.036831,-0.001595,-4.962300,0.050323,-0.075641,-5.222999,px4_default
32504000,-0.041178,0.001522,-4.963684,0.050494,-0.075763,-5.230324,px4_default
32524000,-0.046681,0.005446,-4.965411,0.050743,-0.075937,-5.241300,px4_default
32544000,-0.053475,0.010262,-4.967425,0.050890,-0.076053,-5.248620,px4_default
32564000,-0.061695,0.016054,-4.969663,0.051134,-0.076227,-5.259593,px4_default
32584000,-0.071477,0.022903,-4.972056,0.051306,-0.076338,-5.266898,px4_default
32604000,-0.082953,0.030887,-4.974530,0.051585,-0.076510,-5.277848,px4_default
32624000,-0.096256,0.040081,-4.977003,0.051781,-0.076615,-5.285141,px4_default
32644000,-0.111611,0.050621,-4.979385,0.052085,-0.076758,-5.296069,px4_default
32664000,-0.129142,0.062570,-4.981582,0.052299,-0.076863,-5.303349,px4_default
32684000,-0.148911,0.075958,-4.983494,0.052628,-0.077006,-5.314226,px4_default
32704000,-0.171038,0.090851,-4.985015,0.052823,-0.077107,-5.321480,px4_default
32724000,-0.195539,0.107249,-4.985902,0.053107,-0.077252,-5.332355,px4_default
32744000,-0.222247,0.125032,-4.985733,0.053281,-0.077351,-5.339608,px4_default
32764000,-0.251153,0.144157,-4.984386,0.053536,-0.077488,-5.350504,px4_default
32784000,-0.282473,0.164693,-4.982134,0.053708,-0.077571,-5.357761,px4_default
32804000,-0.316381,0.186663,-4.979252,0.053922,-0.077723,-5.368621,px4_default
32824000,-0.352862,0.209978,-4.975800,0.054061,-0.077812,-5.375859,px4_default
32844000,-0.391789,0.234500,-4.971703,0.054264,-0.077928,-5.386707,px4_default
32864000,-0.433062,0.260138,-4.966953,0.054376,-0.077993,-5.393928,px4_default
32884000,-0.476697,0.286902,-4.961746,0.054552,-0.078065,-5.404739,px4_default
32904000,-0.522692,0.314814,-4.956280,0.054671,-0.078088,-5.411935,px4_default
32924000,-0.570946,0.343853,-4.950625,0.054874,-0.078076,-5.422720,px4_default
32944000,-0.621389,0.374015,-4.944846,0.055020,-0.078049,-5.429901,px4_default
32964000,-0.674009,0.405330,-4.939006,0.055247,-0.078004,-5.440695,px4_default
32984000,-0.728567,0.437709,-4.933173,0.055402,-0.077967,-5.447894,px4_default
33004000,-0.784957,0.471127,-4.927403,0.055601,-0.077903,-5.458734,px4_default
33024000,-0.843077,0.505565,-4.921749,0.055733,-0.077850,-5.465971,px4_default
33044000,-0.902816,0.541000,-4.916262,0.055926,-0.077753,-5.476843,px4_default
33064000,-0.964064,0.577406,-4.910988,0.056021,-0.077649,-5.484118,px4_default
33084000,-1.026712,0.614761,-4.905972,0.056164,-0.077460,-5.495071,px4_default
33104000,-1.090651,0.653042,-4.901255,0.056255,-0.077299,-5.502397,px4_default
33124000,-1.155765,0.692221,-4.896874,0.056349,-0.077049,-5.513407,px4_default
33144000,-1.221941,0.732276,-4.892867,0.056402,-0.076876,-5.520746,px4_default
33164000,-1.289069,0.773181,-4.889263,0.056429,-0.076606,-5.531823,px4_default
33184000,-1.357031,0.814909,-4.886093,0.056436,-0.076420,-5.539221,px4_default
33204000,-1.425710,0.857433,-4.883380,0.056425,-0.076130,-5.550336,px4_default
33224000,-1.494994,0.900730,-4.881149,0.056397,-0.075929,-5.557757,px4_default
33244000,-1.564765,0.944770,-4.879418,0.056326,-0.075617,-5.568901,px4_default
33264000,-1.634918,0.989566,-4.878233,0.056252,-0.075390,-5.576344,px4_default
33284000,-1.705309,1.035059,-4.877587,0.056137,-0.075033,-5.587506,px4_default
33304000,-1.775817,1.081210,-4.877481,0.056048,-0.074779,-5.594953,px4_default
33324000,-1.846332,1.127996,-4.877920,0.055894,-0.074381,-5.606138,px4_default
33344000,-1.916714,1.175375,-4.878904,0.055789,-0.074107,-5.613593,px4_default
33364000,-1.986853,1.223322,-4.880435,0.055585,-0.073671,-5.624819,px4_default
33384000,-2.056637,1.271814,-4.882506,0.055426,-0.073376,-5.632312,px4_default
33404000,-2.125965,1.320833,-4.885112,0.055152,-0.072926,-5.643563,px4_default
33424000,-2.194704,1.370339,-4.888241,0.054936,-0.072627,-5.651085,px4_default
33444000,-2.262718,1.420290,-4.891878,0.054604,-0.072169,-5.662370,px4_default
33464000,-2.329920,1.470677,-4.896008,0.054365,-0.071860,-5.669886,px4_default
33484000,-2.396195,1.521473,-4.900609,0.054001,-0.071396,-5.681130,px4_default
33504000,-2.461394,1.572622,-4.905655,0.053742,-0.071093,-5.688619,px4_default
33524000,-2.525428,1.624111,-4.911114,0.053340,-0.070619,-5.699836,px4_default
33544000,-2.588201,1.675908,-4.916903,0.053069,-0.070291,-5.707294,px4_default
33564000,-2.649596,1.728005,-4.923000,0.052639,-0.069748,-5.718455,px4_default
33584000,-2.709391,1.780317,-4.929433,0.052344,-0.069369,-5.725885,px4_default
33604000,-2.767585,1.832813,-4.936153,0.051889,-0.068775,-5.737019,px4_default
33624000,-2.824082,1.885450,-4.943124,0.051585,-0.068358,-5.744450,px4_default
33644000,-2.878814,1.938203,-4.950290,0.051142,-0.067718,-5.755582,px4_default
33664000,-2.931657,1.990997,-4.957603,0.050858,-0.067278,-5.763002,px4_default
33684000,-2.982522,2.043789,-4.965036,0.050443,-0.066629,-5.774128,px4_default
33704000,-3.031338,2.096552,-4.972555,0.050171,-0.066196,-5.781535,px4_default
33724000,-3.078043,2.149226,-4.980044,0.049789,-0.065520,-5.792645,px4_default
33744000,-3.122585,2.201761,-4.987394,0.049534,-0.065064,-5.800038,px4_default
33764000,-3.164886,2.254143,-4.994617,0.049147,-0.064354,-5.811177,px4_default
33784000,-3.204846,2.306358,-5.001754,0.048894,-0.063867,-5.818593,px4_default
33804000,-3.242420,2.358395,-5.008764,0.048523,-0.063116,-5.829703,px4_default
33824000,-3.277544,2.410210,-5.015585,0.048249,-0.062578,-5.837105,px4_default
33844000,-3.310185,2.461803,-5.022186,0.047832,-0.061748,-5.848186,px4_default
33864000,-3.340292,2.513155,-5.028543,0.047547,-0.061166,-5.855560,px4_default
33884000,-3.367652,2.564252,-5.034608,0.047141,-0.060237,-5.866577,px4_default
33904000,-3.392376,2.615052,-5.040339,0.046877,-0.059602,-5.873902,px4_default
33924000,-3.414453,2.665569,-5.045717,0.046493,-0.058610,-5.884880,px4_default
33944000,-3.433855,2.715800,-5.050721,0.046249,-0.057940,-5.892179,px4_default
33964000,-3.450560,2.765755,-5.055333,0.045898,-0.056923,-5.903089,px4_default
33984000,-3.464545,2.815399,-5.059521,0.045687,-0.056209,-5.910324,px4_default
34004000,-3.475801,2.864727,-5.063265,0.045362,-0.055143,-5.921175,px4_default
34024000,-3.484298,2.913756,-5.066586,0.045194,-0.054400,-5.928394,px4_default
34044000,-3.490004,2.962475,-5.069499,0.044957,-0.053282,-5.939216,px4_default
34064000,-3.492918,3.010876,-5.071989,0.044830,-0.052529,-5.946419,px4_default
34084000,-3.493048,3.058974,-5.074037,0.044687,-0.051399,-5.957244,px4_default
34104000,-3.490386,3.106774,-5.075644,0.044600,-0.050647,-5.964465,px4_default
34124000,-3.484918,3.154278,-5.076820,0.044464,-0.049519,-5.975359,px4_default
34144000,-3.476650,3.201453,-5.077565,0.044360,-0.048779,-5.982633,px4_default
34164000,-3.465580,3.248314,-5.077883,0.044185,-0.047690,-5.993560,px4_default
34184000,-3.451666,3.294856,-5.077684,0.044059,-0.047001,-6.000888,px4_default
34204000,-3.434915,3.341085,-5.076977,0.043843,-0.045987,-6.011892,px4_default
34224000,-3.415400,3.386942,-5.075872,0.043674,-0.045338,-6.019256,px4_default
34244000,-3.393144,3.432423,-5.074372,0.043373,-0.044408,-6.030326,px4_default
34264000,-3.368162,3.477523,-5.072493,0.043153,-0.043801,-6.037706,px4_default
34284000,-3.340481,3.522196,-5.070264,0.042792,-0.042928,-6.048788,px4_default
34304000,-3.310122,3.566426,-5.067707,0.042536,-0.042353,-6.056170,px4_default
34324000,-3.277138,3.610204,-5.064798,0.042112,-0.041547,-6.067258,px4_default
34344000,-3.241571,3.653520,-5.061528,0.041808,-0.041030,-6.074649,px4_default
34364000,-3.203443,3.696330,-5.057946,0.041319,-0.040281,-6.085733,px4_default
34384000,-3.162781,3.738577,-5.054114,0.040969,-0.039811,-6.093102,px4_default
34404000,-3.119615,3.780235,-5.050059,0.040418,-0.039109,-6.104117,px4_default
34424000,-3.073985,3.821270,-5.045802,0.040026,-0.038655,-6.111428,px4_default
34444000,-3.025924,3.861652,-5.041363,0.039398,-0.038018,-6.122346,px4_default
34464000,-2.975511,3.901316,-5.036768,0.038961,-0.037604,-6.129604,px4_default
34484000,-2.922758,3.940236,-5.032036,0.038250,-0.037060,-6.140400,px4_default
34504000,-2.867573,3.978323,-5.027184,0.037760,-0.036720,-6.147565,px4_default
34524000,-2.810138,4.015608,-5.022239,0.037000,-0.036241,-6.158266,px4_default
34544000,-2.750544,4.052026,-5.017223,0.036470,-0.035948,-6.165370,px4_default
34564000,-2.688823,4.087551,-5.012156,0.035642,-0.035547,-6.175982,px4_default
34584000,-2.624997,4.122162,-5.007051,0.035060,-0.035348,-6.183003,px4_default
34604000,-2.559148,4.155807,-5.001931,0.034184,-0.035061,-6.193506,px4_default
34624000,-2.491326,4.188450,-4.996810,0.033597,-0.034900,-6.200462,px4_default
34644000,-2.421569,4.220064,-4.991705,0.032739,-0.034693,-6.210862,px4_default
34664000,-2.349914,4.250619,-4.986630,0.032172,-0.034560,-6.217783,px4_default
34684000,-2.276418,4.280078,-4.981601,0.031339,-0.034398,-6.228085,px4_default
34704000,-2.201162,4.308397,-4.976632,0.030782,-0.034307,-6.234955,px4_default
34724000,-2.124176,4.335550,-4.971736,0.029947,-0.034195,-6.245258,px4_default
34744000,-2.045507,4.361506,-4.966925,0.029362,-0.034154,-6.252125,px4_default
34764000,-1.965184,4.386239,-4.962210,0.028476,-0.034091,-6.262427,px4_default
34784000,-1.883324,4.409698,-4.957605,0.027880,-0.034066,-6.269293,px4_default
34804000,-1.799873,4.431793,-4.953125,0.027002,-0.034023,-6.279590,px4_default
34824000,-1.714891,4.452533,-4.948777,0.026441,-0.034001,-6.286469,px4_default
34844000,-1.628541,4.471900,-4.944570,0.025609,-0.033959,-6.296814,px4_default
34864000,-1.540849,4.489869,-4.940509,0.025055,-0.033918,-6.303710,px4_default
34884000,-1.451866,4.506413,-4.936603,0.024274,-0.033842,-6.314070,px4_default
34904000,-1.361619,4.521504,-4.932856,0.023772,-0.033774,-6.320975,px4_default
34924000,-1.270204,4.535105,-4.929276,0.023045,-0.033647,-6.331336,px4_default
34944000,-1.177682,4.547187,-4.925868,0.022632,-0.033538,-6.338243,px4_default
34964000,-1.084093,4.557723,-4.922636,0.022036,-0.033345,-6.348607,px4_default
34984000,-0.989476,4.566685,-4.919581,0.021678,-0.033191,-6.355524,px4_default
35004000,-0.893893,4.574042,-4.916707,0.021197,-0.032924,-6.365914,px4_default
35024000,-0.797445,4.579765,-4.914016,0.020890,-0.032728,-6.372846,px4_default
35044000,-0.700158,4.583828,-4.911507,0.020484,-0.032430,-6.383248,px4_default
35064000,-0.602086,4.586206,-4.909176,0.020201,-0.032218,-6.390203,px4_default
35084000,-0.503259,4.586879,-4.907004,0.019812,-0.031850,-6.400697,px4_default
35104000,-0.403816,4.585813,-4.904946,0.019560,-0.031576,-6.407699,px4_default
35124000,-0.303763,4.582917,-4.903031,0.019190,-0.031127,-6.418233,px4_default
35144000,-0.203161,4.578251,-4.901309,0.018954,-0.030774,-6.425281,px4_default
35164000,-0.102162,4.571811,-4.899788,0.018598,-0.030217,-6.435855,px4_default
35184000,-0.000812,4.563585,-4.898469,0.018373,-0.029823,-6.442915,px4_default
35204000,0.100821,4.553565,-4.897356,0.018168,-0.029422,-6.449983,px4_default
35224000,0.202694,4.541738,-4.896448,0.017881,-0.028806,-6.460597,px4_default
35244000,0.304692,4.528100,-4.895745,0.017697,-0.028189,-6.471197,px4_default
35264000,0.406729,4.512647,-4.895246,0.017598,-0.027781,-6.478263,px4_default
35284000,0.508752,4.495376,-4.894928,0.017484,-0.027172,-6.488862,px4_default
35304000,0.610706,4.476291,-4.894762,0.017480,-0.026780,-6.495940,px4_default
35324000,0.712524,4.455389,-4.894748,0.017442,-0.026178,-6.506548,px4_default
35344000,0.814092,4.432670,-4.894911,0.017486,-0.025794,-6.513626,px4_default
35364000,0.915390,4.408126,-4.895258,0.017563,-0.025224,-6.524239,px4_default
35384000,1.016387,4.381752,-4.895792,0.017649,-0.024861,-6.531316,px4_default
35404000,1.116943,4.353576,-4.896509,0.017822,-0.024318,-6.541953,px4_default
35424000,1.217012,4.323479,-4.897418,0.017941,-0.023950,-6.549052,px4_default
35444000,1.316551,4.291559,-4.898507,0.018150,-0.023395,-6.559791,px4_default
35464000,1.415548,4.257831,-4.899768,0.018277,-0.023029,-6.566959,px4_default
35484000,1.513873,4.222324,-4.901195,0.018449,-0.022488,-6.577730,px4_default
35504000,1.611491,4.185042,-4.902781,0.018553,-0.022153,-6.584938,px4_default
35524000,1.708353,4.145987,-4.904520,0.018687,-0.021654,-6.595749,px4_default
35544000,1.804428,4.105157,-4.906404,0.018770,-0.021335,-6.602967,px4_default
35564000,1.899628,4.062573,-4.908426,0.018906,-0.020892,-6.613820,px4_default
35584000,1.993879,4.018251,-4.910574,0.018987,-0.020601,-6.621058,px4_default
35604000,2.087147,3.972192,-4.912841,0.019079,-0.020209,-6.631918,px4_default
35624000,2.179390,3.924397,-4.915217,0.019119,-0.019955,-6.639153,px4_default
35644000,2.270556,3.874873,-4.917690,0.019133,-0.019617,-6.650052,px4_default
35664000,2.360540,3.823658,-4.920249,0.019119,-0.019396,-6.657330,px4_default
35684000,2.449324,3.770741,-4.922882,0.019068,-0.019072,-6.668263,px4_default
35704000,2.536884,3.716116,-4.925577,0.019013,-0.018876,-6.675565,px4_default
35724000,2.623049,3.659787,-4.928322,0.018892,-0.018578,-6.686507,px4_default
35744000,2.707782,3.601722,-4.931102,0.018780,-0.018387,-6.693803,px4_default
35764000,2.791087,3.542007,-4.933902,0.018628,-0.018113,-6.704726,px4_default
35784000,2.872945,3.480630,-4.936707,0.018522,-0.017927,-6.712000,px4_default
35804000,2.953249,3.417645,-4.939502,0.018374,-0.017702,-6.722907,px4_default
35824000,3.031961,3.353054,-4.942271,0.018283,-0.017558,-6.730168,px4_default
35844000,3.109042,3.286865,-4.944999,0.018157,-0.017350,-6.741088,px4_default
35864000,3.184460,3.219076,-4.947669,0.018080,-0.017232,-6.748373,px4_default
35884000,3.258147,3.149720,-4.950262,0.017973,-0.017084,-6.759285,px4_default
35904000,3.330041,3.078829,-4.952760,0.017911,-0.017037,-6.766524,px4_default
35924000,3.400132,3.006399,-4.955130,0.017796,-0.016963,-6.777356,px4_default
35944000,3.468395,2.932460,-4.957329,0.017711,-0.016930,-6.784555,px4_default
